Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 
03-Dec-24	EQ	"2,464.00"	"2,558.00"	"2,462.05"	"2,457.05"	"2,511.00"	"2,514.20"	"2,510.57"	"3,743.90"	"2,025.00"	"40,70,042"	"10,21,81,12,745.45"	"1,60,160"
02-Dec-24	EQ	"2,491.35"	"2,508.00"	"2,426.60"	"2,463.15"	"2,452.10"	"2,457.05"	"2,456.14"	"3,743.90"	"2,025.00"	"38,07,565"	"9,35,19,20,237.75"	"1,54,130"
29-Nov-24	EQ	"2,464.05"	"2,520.00"	"2,400.00"	"2,437.10"	"2,457.00"	"2,463.15"	"2,460.36"	"3,743.90"	"2,025.00"	"81,91,680"	"20,15,44,78,534.95"	"3,15,730"
28-Nov-24	EQ	"2,440.00"	"2,526.30"	"2,400.00"	"2,397.80"	"2,437.00"	"2,437.10"	"2,467.73"	"3,743.90"	"2,025.00"	"1,44,45,549"	"35,64,76,47,294.05"	"5,90,705"
27-Nov-24	EQ	"2,180.00"	"2,418.00"	"2,142.15"	"2,150.50"	"2,399.00"	"2,397.80"	"2,324.71"	"3,743.90"	"2,025.00"	"1,75,02,156"	"40,68,75,07,250.30"	"6,20,492"
26-Nov-24	EQ	"2,265.60"	"2,292.85"	"2,136.00"	"2,257.50"	"2,166.85"	"2,150.50"	"2,189.62"	"3,743.90"	"2,025.00"	"77,23,187"	"16,91,08,52,564.55"	"3,16,539"
25-Nov-24	EQ	"2,315.00"	"2,333.65"	"2,238.00"	"2,228.00"	"2,265.20"	"2,257.50"	"2,295.02"	"3,743.90"	"2,025.00"	"74,66,733"	"17,13,63,26,445.75"	"2,52,789"
22-Nov-24	EQ	"2,101.00"	"2,289.70"	"2,025.00"	"2,183.65"	"2,229.90"	"2,228.00"	"2,188.51"	"3,743.90"	"2,025.00"	"2,09,39,196"	"45,82,55,77,129.80"	"7,11,465"
21-Nov-24	EQ	"2,539.35"	"2,539.35"	"2,155.05"	"2,821.50"	"2,160.00"	"2,183.65"	"2,254.30"	"3,743.90"	"2,142.00"	"2,17,96,668"	"49,13,62,35,919.80"	"7,92,663"
19-Nov-24	EQ	"2,831.00"	"2,894.80"	"2,809.80"	"2,818.70"	"2,817.00"	"2,821.50"	"2,858.60"	"3,743.90"	"2,142.00"	"5,36,296"	"1,53,30,55,140.35"	"44,585"
